Product Id	Type	Description	Unit	Vendor	Location	Reference	Compatibility	Category	Comission Percent	Commission Flat	Stock	Reserved	Ordered	Minimum Stock	Last Price	Cost Markup	Cost	Retail Price	Retail Date	Wholesale Price	Whole Date	Cost Date	Init Stock	Stock Date	Last Invoice	Last Order	Total Sales	Init Date	Gross	Total Sold	Remarks 1	Remarks 2	Remarks 3	Remarks 4	Remarks 5	Remarks 6
235LTMICHELIN	235/85R16	MICHELIN 235/85R16 LTX M/S2 10		ITCO		27679			0.00	0.00	0	0	0	0	187.87	13.00	212.29	220.00	04/01/2013	210.00	04/01/2013	09/15/2014	0	01/29/2015	454507	10102	1610.00	01/01/0001	-1467.56	18.00						
AGATE11	875-16.5	FIRESTONE 875R16.5 TRANS 10PR		UNIVERSAL		L2082L	NEW TIRES		0.00	0.00	0	0	0	0	209.28	13.00	236.49	175.00	10/29/2014	165.00	10/29/2014	08/20/2014	1	01/17/2015	458132	11435	14565.00	01/01/0001	2886.42	54.00						
AGATE315	315/80R22.5	AGATE 315/80R22.5 20PLY HF660		TIREMAST			NEW TIRES		0.00	0.00	3	0	0	0	282.36	13.00	319.06	340.00	01/28/2013	320.00	01/28/2013	01/08/2015	3	01/23/2015	439824	10761	10000.00	01/01/0001	1529.20	30.00						
AIRPORTFEE	AIRPORT FEE	AIRPORT FEE 7%					TUBES		0.00	0.00	0	0	0	0	1.00	13.00	1.13	1.00		1.00		02/22/2010	0	02/22/2010	458926	0	46154.28	01/01/0001	42786.28	3368.00						
AIRPORTFEE1	AIRPORT FEE	SERVICE HOUR					MOUNTS		0.00	0.00	0	0	0	0	1.00	13.00	1.13	1.00		1.00		03/09/2011	0	03/09/2011	408344	0	551.55	01/01/0001	543.55	8.00						
ALIGN01	ALIGNMENT	ALIGNMENT INSPECTION					ALIGNMENT		0.00	0.00	0	1	0	0	10.00	13.00	11.30	25.00		25.00			0		458900	0	35695.50	05/13/2007	23195.50	1250.00						
ALIGN02	ALIGNMENT	FRONT END ALIGNMENT					ALIGNMENT		0.00	0.00	0	-2	0	0	45.00	13.00	50.85	100.00		100.00			0	06/02/2007	458932	0	672892.20	05/13/2007	366847.20	6803.00						
ALIGN03	ALIGNMENT	2 AXLE ALIGNMENT					ALIGNMENT		0.00	0.00	0	-1	0	0	90.00	13.00	101.70	180.00		180.00			0		447318	0	33286.77	05/13/2007	17806.77	172.00						
ALIGN04	ALIGNMENT	TOTAL ALIGNMENT					ALIGNMENT		0.00	0.00	0	0	0	0	135.00	13.00	152.55	280.00	10/22/2008	280.00	10/22/2008		0		458609	0	233851.00	05/13/2007	103981.00	963.00						
ALTURA12	SOLDOUT	ALTURA 1200-24 E-3 20PR ROCK		TGI			NEW TIRES		0.00	0.00	0	0	0	0	684.95	13.00	773.99	850.00	10/17/2011	790.00	10/17/2011	12/16/2013	0	04/10/2014	433840	11003	1700.00	01/01/0001	330.10	2.00						
ALTURA18	SOLDOUT	ALTURA 1800-25 L5S 40PR		TYRES			NEW TIRES		0.00	0.00	4	0	44	0	2374.00	13.00	2682.62	3175.00	03/27/2014	2875.00	03/27/2014	04/15/2014	0	10/21/2014	451885	11789	450200.00	01/01/0001	65626.00	161.00						
ALTURA23	23.1-26	CEAT 23.1-26 R-3 16P TBLS		TYRES			NEW TIRES		0.00	0.00	4	0	4	0	738.17	13.00	834.13	1000.00	06/02/2011	900.00	06/02/2011	04/03/2013	4	11/09/2014	424796	11789	9535.00	01/01/0001	2119.07	10.00						
ANALYSIS	ANALYSIS	ANAYLSIS OF TIRE					MOUNTS		0.00	0.00	0	0	0	0	10.00	13.00	11.30	15.00	04/04/2011	15.00	04/04/2011	02/13/2013	0	02/13/2013	0	0	0.00	01/01/0001	0.00	0.00						
ANNAITE05	11R24.5	ANNAITE 11R24.5 660 LUG 16PR		CHINESE			NEW TIRES		0.00	0.00	0	0	0	0	214.28	13.00	242.13	270.00	09/24/2014	250.00	09/24/2014	01/08/2015	0	01/21/2015	457598	12080	21740.00	01/01/0001	4169.04	82.00						
ANNAITE295	295/75R22.5	ANNAITE 295/75R22.5 LUG660 16P		QFLUENT			NEW TIRES		0.00	0.00	119	0	0	0	205.00	13.00	231.65	255.00	10/14/2010	235.00	10/14/2010	11/21/2014	123	02/24/2015	458890	12337	8590.00	01/01/0001	1210.00	36.00						
ANNAITE385	385/65R22.5	ANNAITE 385/65R22.5 397 20PR		RUSO		700131	NEW TIRES		0.00	0.00	1	0	0	0	317.70	13.00	359.00	360.00	05/02/2014	380.00	10/14/2010	02/05/2015	2	02/11/2015	458564	12606	710.00	01/01/0001	74.60	2.00						
ANNAITE660	11R22.5	ANNAITE 11R22.5 660 TRACC 16P		QFLUENT			NEW TIRES		0.00	0.00	456	0	0	0	206.09	13.00	232.88	260.00	04/23/2014	235.00	11/21/2014	02/11/2015	533	02/09/2015	458880	12337	91456.00	01/01/0001	15046.29	369.00						
ANNAITE785	11R22.5	ANNAITE 11R22.5 785 A/P 16P		QVICTOR			NEW TIRES		0.00	0.00	46	0	0	0	159.00	13.00	179.67	240.00	01/06/2015	220.00	01/06/2015	02/11/2015	46	02/09/2015	457750	11890	64605.00	01/01/0001	15858.96	264.00						
ANNAITE786	11R22.5	ANNAITE 11R22.5 786 DC HWY 16P		QFLUENT			NEW TIRES		0.00	0.00	128	0	0	0	197.90	13.00	223.62	250.00	11/21/2014	230.00	11/21/2014	02/11/2015	152	02/09/2015	458611	12337	80745.00	01/01/0001	15522.40	338.00						
